sensor_name,sensor_type,resolution,detector,tracker,measured_event_rate,power_mW,price,wall_clock_s,mota,motp,idf1,id_switches,num_gt,num_pred
DAVIS346,DVS,346x260,optical_flow,sort,28520.2,10.37,"~$3,000 (dev kit)",4.88,-0.06985933301722769,0.460874688682453,0.0004430005906674542,0,12654,890
Lichtsteiner 2008,DVS,128x128,frame_diff,centroid,4250.0,22.92,N/A (research),2.8,0.0,,0.0,0,12654,0
Lichtsteiner 2008,DVS,128x128,frame_diff,iou,4250.0,22.92,N/A (research),2.68,0.0,,0.0,0,12654,0
Lichtsteiner 2008,DVS,128x128,frame_diff,sort,4250.0,22.92,N/A (research),2.77,0.0,,0.0,0,12654,0
Lichtsteiner 2008,DVS,128x128,mog2,centroid,4250.0,22.92,N/A (research),2.69,0.0,,0.0,0,12654,0
Lichtsteiner 2008,DVS,128x128,mog2,iou,4250.0,22.92,N/A (research),2.74,0.0,,0.0,0,12654,0
Lichtsteiner 2008,DVS,128x128,mog2,sort,4250.0,22.92,N/A (research),2.77,0.0,,0.0,0,12654,0
Lichtsteiner 2008,DVS,128x128,knn,centroid,4250.0,22.92,N/A (research),2.69,0.0,,0.0,0,12654,0
Lichtsteiner 2008,DVS,128x128,knn,iou,4250.0,22.92,N/A (research),2.82,0.0,,0.0,0,12654,0
Lichtsteiner 2008,DVS,128x128,knn,sort,4250.0,22.92,N/A (research),3.2,0.0,,0.0,0,12654,0
Lichtsteiner 2008,DVS,128x128,optical_flow,centroid,4250.0,22.92,N/A (research),3.27,-0.033033033033033066,0.46112416203691686,0.0003059039461609055,0,12654,422
Lichtsteiner 2008,DVS,128x128,optical_flow,iou,4250.0,22.92,N/A (research),3.21,-0.02291765449660188,0.46112416203691686,0.00030892801977139327,0,12654,294
Lichtsteiner 2008,DVS,128x128,optical_flow,sort,4250.0,22.92,N/A (research),3.39,-0.022759601706970223,0.4611241620489662,0.0003089757454039858,0,12654,292
Prophesee IMX636,DVS,1280x720,frame_diff,centroid,321617.8,32.08,"~$3,500 (EVK4 kit)",7.03,-0.6702228544333808,0.38915898606334515,0.007686899460979611,8,12654,8681
Prophesee IMX636,DVS,1280x720,frame_diff,iou,321617.8,32.08,"~$3,500 (EVK4 kit)",7.08,-0.4802434012960328,0.3924261286760286,0.006350214319733291,10,12654,6243
Prophesee IMX636,DVS,1280x720,frame_diff,sort,321617.8,32.08,"~$3,500 (EVK4 kit)",7.55,-0.4784257942152679,0.3948909633965992,0.008572335696899143,8,12654,6244
Prophesee IMX636,DVS,1280x720,mog2,centroid,321617.8,32.08,"~$3,500 (EVK4 kit)",7.26,-0.32124229492650547,0.3387156690695002,0.01272684421399953,11,12654,4318
Prophesee IMX636,DVS,1280x720,mog2,iou,321617.8,32.08,"~$3,500 (EVK4 kit)",7.54,-0.22182709024814296,0.32834120664819955,0.013003569607343193,7,12654,3034
Prophesee IMX636,DVS,1280x720,mog2,sort,321617.8,32.08,"~$3,500 (EVK4 kit)",7.77,-0.22427690848743476,0.33281110745579723,0.011840346298300337,7,12654,3055
Prophesee IMX636,DVS,1280x720,knn,centroid,321617.8,32.08,"~$3,500 (EVK4 kit)",7.61,-0.3807491702228545,0.3452256797944967,0.014806505888951205,14,12654,5176
Prophesee IMX636,DVS,1280x720,knn,iou,321617.8,32.08,"~$3,500 (EVK4 kit)",7.62,-0.26363205310573723,0.341512741064327,0.015429831006612785,12,12654,3678
Prophesee IMX636,DVS,1280x720,knn,sort,321617.8,32.08,"~$3,500 (EVK4 kit)",7.91,-0.26655602971392445,0.34113502299215404,0.015514292694844858,9,12654,3718
Prophesee IMX636,DVS,1280x720,optical_flow,centroid,321617.8,32.08,"~$3,500 (EVK4 kit)",20.37,-0.2534376481744902,0.388114876354122,0.027730479202140598,13,12654,3790
Prophesee IMX636,DVS,1280x720,optical_flow,iou,321617.8,32.08,"~$3,500 (EVK4 kit)",20.4,-0.1921921921921923,0.3884103140396342,0.025965720133026348,18,12654,2982
Prophesee IMX636,DVS,1280x720,optical_flow,sort,321617.8,32.08,"~$3,500 (EVK4 kit)",20.75,-0.18966334755808445,0.3965320482126415,0.027269235693253104,20,12654,2968
Samsung DVS-Gen3.1,DVS,640x480,frame_diff,centroid,103464.8,10.15,~$100-300 (module),4.2,-0.23850165955429103,0.39154531671222526,0.0006376737661012626,0,12654,3028
Samsung DVS-Gen3.1,DVS,640x480,frame_diff,iou,103464.8,10.15,~$100-300 (module),4.25,-0.17828354670459934,0.3824852190613771,0.00013412017167381974,0,12654,2258
Samsung DVS-Gen3.1,DVS,640x480,frame_diff,sort,103464.8,10.15,~$100-300 (module),4.41,-0.17780938833570414,0.38248521905582444,0.0001341741580571582,0,12654,2252
Samsung DVS-Gen3.1,DVS,640x480,mog2,centroid,103464.8,10.15,~$100-300 (module),4.33,-0.07673462936620834,0.40847716207355717,0.001319067858713176,1,12654,992
Samsung DVS-Gen3.1,DVS,640x480,mog2,iou,103464.8,10.15,~$100-300 (module),4.43,-0.05199936778884151,0.4111774387959107,0.00105057781779979,0,12654,672
Samsung DVS-Gen3.1,DVS,640x480,mog2,sort,103464.8,10.15,~$100-300 (module),4.47,-0.05231547336810505,0.43943707963044626,0.0004501800720288115,2,12654,674
Samsung DVS-Gen3.1,DVS,640x480,knn,centroid,103464.8,10.15,~$100-300 (module),4.41,-0.09657025446499135,0.4054895809990013,0.0025834230355220667,3,12654,1281
Samsung DVS-Gen3.1,DVS,640x480,knn,iou,103464.8,10.15,~$100-300 (module),4.4,-0.06654022443496133,0.39982689564129487,0.001920520017727877,2,12654,884
Samsung DVS-Gen3.1,DVS,640x480,knn,sort,103464.8,10.15,~$100-300 (module),4.47,-0.06709340919867235,0.41775907366466447,0.0014775413711583924,3,12654,882
Samsung DVS-Gen3.1,DVS,640x480,optical_flow,centroid,103464.8,10.15,~$100-300 (module),8.64,-0.18428955271060543,0.4529835318785692,0.012370048690617187,4,12654,2544
Samsung DVS-Gen3.1,DVS,640x480,optical_flow,iou,103464.8,10.15,~$100-300 (module),8.68,-0.1344238975817924,0.4529636561359149,0.011405799093032843,5,12654,1900
Samsung DVS-Gen3.1,DVS,640x480,optical_flow,sort,103464.8,10.15,~$100-300 (module),8.81,-0.1344238975817924,0.4611686480698762,0.01168545504536706,5,12654,1894
