sensor_name,sensor_type,tracker,velocity_scale,mean_velocity_px_s,power_mW,required_fps,actual_fps,contrast_threshold,fps_fraction,price,mota,motp,idf1,id_switches,num_gt,num_pred
OV7251 (OmniVision),CIS,centroid,100,2096.9,6.75,348.3,15.0,,0.12,~$3-5,0.16796269954164691,0.14546622729410927,0.21888979894059274,127.0,12654.0,2442.0
OV7251 (OmniVision),CIS,sort,10,209.7,3.58,34.8,5.0,,0.04,~$3-5,0.04509246088193457,0.15493155518318857,0.05995943707546468,109.6,12654.0,801.8
OV7251 (OmniVision),CIS,sort,2,41.9,3.58,7.0,5.0,,0.04,~$3-5,0.09834044570886677,0.18320886708256734,0.11231986845759008,148.0,12654.0,1482.4
OV7251 (OmniVision),CIS,centroid,500,10484.5,6.75,1741.7,15.0,,0.12,~$3-5,0.17336810494705232,0.14150341690928095,0.23694392322396157,82.4,12654.0,2276.2
OV7251 (OmniVision),CIS,centroid,200,4193.8,6.75,696.7,15.0,,0.12,~$3-5,0.17226173541963014,0.14085029374050265,0.23566833405105517,93.2,12654.0,2276.6
IMX462 (Sony),CIS,sort,200,4193.8,310.0,696.7,120.0,,1.0,~$20-30,0.39020072704283226,0.05212736746523581,0.49851938967748266,82.4,12654.0,5167.6
OV7251 (OmniVision),CIS,sort,1,21.0,3.58,3.5,5.0,,0.04,~$3-5,0.11963015647226174,0.16020818914286286,0.1381315449056704,123.4,12654.0,1650.0
OV7251 (OmniVision),CIS,iou,1,21.0,6.75,3.5,15.0,,0.12,~$3-5,0.4641220167535957,0.14719009716140083,0.6056059039027796,39.0,12654.0,5912.4
OV7251 (OmniVision),CIS,iou,5,104.8,6.75,17.4,15.0,,0.12,~$3-5,0.40388809862494074,0.19430090832252767,0.45010547055840966,185.2,12654.0,5660.8
OV7251 (OmniVision),CIS,iou,10,209.7,6.75,34.8,15.0,,0.12,~$3-5,0.2985143037774617,0.21023231320189278,0.33170375137216757,353.2,12654.0,5219.4
OV7251 (OmniVision),CIS,iou,2,41.9,6.75,7.0,15.0,,0.12,~$3-5,0.4600758653390232,0.1623235022330175,0.5641817598624896,56.2,12654.0,5891.2
OV7251 (OmniVision),CIS,iou,100,2096.9,6.75,348.3,15.0,,0.12,~$3-5,0.17264106211474634,0.14462797226857577,0.24528415739649292,83.8,12654.0,2354.0
OV7251 (OmniVision),CIS,iou,50,1048.5,6.75,174.2,15.0,,0.12,~$3-5,0.16698277224593014,0.15821342971357494,0.22808835943262307,157.8,12654.0,2753.6
OV7251 (OmniVision),CIS,iou,500,10484.5,6.75,1741.7,15.0,,0.12,~$3-5,0.17316263632053105,0.1414511036407684,0.2504234717908137,64.0,12654.0,2255.2
OV7251 (OmniVision),CIS,iou,20,419.4,6.75,69.7,15.0,,0.12,~$3-5,0.1949107001738581,0.2002732286752082,0.25278356911732386,357.6,12654.0,4312.0
OV7251 (OmniVision),CIS,iou,200,4193.8,6.75,696.7,15.0,,0.12,~$3-5,0.17249881460407773,0.14096235051242204,0.24995276517869763,69.8,12654.0,2254.2
IMX327 (Sony),CIS,centroid,2,41.9,38.75,7.0,5.0,,0.08,~$15-25,0.13742690058479531,0.1501689276349961,0.23815051010656435,39.8,12654.0,2022.4
IMX327 (Sony),CIS,centroid,1,21.0,38.75,3.5,5.0,,0.08,~$15-25,0.15768926821558402,0.11615337176956335,0.26719089490405185,15.0,12654.0,2039.6
IMX462 (Sony),CIS,sort,100,2096.9,310.0,348.3,120.0,,1.0,~$20-30,0.37989568515884303,0.08056361350002904,0.4689064542733212,250.4,12654.0,6169.6
IMX327 (Sony),CIS,centroid,10,209.7,38.75,34.8,5.0,,0.08,~$15-25,0.05729413624150468,0.11148029874767311,0.11755540641947833,103.4,12654.0,1266.4
IMX462 (Sony),CIS,sort,1,21.0,310.0,3.5,120.0,,1.0,~$20-30,0.998103366524419,0.04766364009149971,0.9990507831039392,0.0,12654.0,12630.0
IMX327 (Sony),CIS,centroid,5,104.8,38.75,17.4,5.0,,0.08,~$15-25,0.07834676782045202,0.15472346867726253,0.15674958298603747,115.6,12654.0,1779.4
